,0
747,"좋아요 19개
jin.jss
맨날 일만 하다가 요즘 짬내서 기분전환하고 오는중 🤍

성수동은 학교 졸업하고나선 처음이었는데
핫플도 많고 많이 바뀌었다

1.
점심 먹으러 방문한 파스트 팔레트
분위기가 좋은데 가격이 넘 저렴해서 깜짝 놀랐던 곳
근데 연어샐러드 먹으러 간건데 품절이라 주문이 안됐음
브런치메뉴랑 파스타 2개 시켰는데 가격이 저렴한만큼 양이 적어서 넘 아쉬웠다
남편이랑 왔다면 메뉴 4개 시켜야 적당히 배불렀을 것 같은 느낌?🙃🙃
그래도 맛은 있었다
먹는양이 적거나 가성비 좋은 곳을 찾고있다면 추천!
(파스타 가격 11,000)

2.
성수동 카페 오르에르
커피도 맛있고 매일 직접 만들어서 판매한다는 디저트도 맛있었는데
너무너무 시끄럽고 도떼기시장같은 분위기라 친구들과 대화하기 힘들었다..! ㅎㅎㅎ
원래 사람 많은 곳은 다 그런거겠지만
다음에 성수동을 간다면 공간과 테이블간격이 더 넓은 카페를 갈 것 같다🥲
3일
jin.jss
성수동 방문 기록!
3일답글 달기
답글 보기(1개)
3일 전
게시"
748,"좋아요 162개
chulsoon1978kj
권식족발 오면 항상 시키는 반반왕족발!

콜라겐으로 피부미용도 챙길 수 있고
직화로 구워서 맛있게 매운 족발!! 킹왕짱짱!!

사이드 메뉴로 주먹밥과 막국수!!
거기다가 순대국까지!

매운 맛도 잡아주고
다양한 사이드메뉴를 즐길 수 있으니
10년 맛집 명성 이어가는 이유를 알겠네요~!!!
#권식족발#성수동맛집#뚝섬맛집#성수맛집#성수족발#성수동족발#먹팔#맛집스타그램 #뚝섬데이트 #성수맛집탐방 #먹스타소통 #족발맛집 #생방송투데이맛집 #프로먹방러 #뚝섬역모임
3일
food_choooa
먹팔하고 찐소통해요😍
3일답글 달기
catalinktf
Boss all the way 💪🏻😘
3일답글 달기
shawnkristensen07
Nyc bro
3일답글 달기
huunghidt
You are such the best 😉
3일답글 달기
rfalascajr
Pure you are 🤗
3일답글 달기
3일 전
게시"
749,"좋아요 115개
eblouissant.k
봉골레는 어린이가 먹는 양.
샐러드가 거의 두끼 식사급.

#할아버지공장
#성수동#성수동라이프
3일
eblouissant.k
❤️
3일답글 달기
답글 보기(1개)
travel._.bunny
샐러드 양 많으면 넘나좋죠오😍😍 강제 다이어트😂😂
3일좋아요 1개답글 달기
j___hola
으앙 너무 맛있어보여요😍
3일답글 달기
doublejjak
샐러드로 배채우셨겠어요!!프레쉬😢😢
2일답글 달기
3일 전
게시"
750,"좋아요 5개
cidykim0826
#미도인 스테이크가 정말 맛있습니다. 다른곳은 가격만 비싸고 맛있다는걸 못느꼈는데. 여기 가격도 좋고 맛도 아주 좋습니다.
스테이크가 먹고 싶을때는 미도인을 찾을것 같네용
#미도인성수#주말데이트#성수동맛집추천#서울숲맛집#성수맛집#아이와함께#성수맛집미도인#성수동맛집#특별한날#성수동데이트#분위기갑
3일
3일 전
게시"
751,"좋아요 17개
gimin.choi
우헿헷헷 마이쪄
#성수동맛집 #성수동맛집 #햄버거 #lefreak #성수핫플 #일상 #맞팔선팔환영
3일
3일 전
게시"
752,"좋아요 436개
cchaeeei
아늑한 분위기 맛난 브런치 체고 ◡̈
3일
cchaeeei
#카페스타그램#cafestagram#성수카페#성수동데이트#성수맛집#리틀포레스트#성수동브런치#성수동카페#cafetour#디저트카페#온더테이블#onthetable#카페투어#서울브런치카페#서울여행코스#성수동카페거리#성수브런치카페#서울신상카페#좋아요반사#성수동핫플레이스#카페인테리어#셀스타그램#신상카페#가오픈카페#인테리어맛집#카페맛집#성수신상카페#서울카페투어#성수동맛집#디저트맛집
3일답글 달기
___jjively____
와❤️❤️ 따뜻한 분위기 좋네요😍
3일답글 달기
bora.331_kk
브런치 진짜 좋아하는데❤️❤️❤️ 여기 분위기도 너무 좋아 보여요ㅠㅠ😍😍😍
3일답글 달기
lemony_00
옆모습 너무 이쁘세요 😍
3일답글 달기
casa.de.chloe
분위기 좋은곳에서 맛난 브런치 먹으면 넘 행복하죠!!~~~❤️
2일답글 달기
yeah._.ji__
엉니눈 옆모습듀 예뿌네♥︎
3일답글 달기
lily.an0
민트 룩 왜케 잘어울리셔용..💚💚
3일답글 달기
classic.jin
채이님 분위기는 더 채고 예뻐라..💞💖💗
3일답글 달기
j_he___
브런치체고〰️🥪🥗🧃
3일답글 달기
lee_eunju___
아늑한 분위기도 좋지만 채이님 너무 예쁘셔요💛💛
3일답글 달기
fairlynn__
으아 왤케 오랜만이에요🥺🤍 분위기 지짜 최고..🧚🏻✨
3일답글 달기
ondin__
카페 이름부터 너무좋네요 ㅎㅎ
1일답글 달기
3일 전
게시"
753,"좋아요 155개
97666kmoi
♡무식당♡

매장이 정말 깔끔하고 고기가 맛있었던 곳!

팀장님이 정말 맛있다고 하셔서
같이 먹으러 다녀왔는데,
요기 고기 퀄리티 완전 기대이상!

진짜 맛있어요!

무화살~!!!
육즙 가득하니 너무너무 맛있음!

고기랑 같이 먹을 반찬도 정갈하게 잘 나오고! 짱짱!

화요랑 같이 먹으면 완전 꿀맛!
캬아 눈에서 꿀떨어지는중ㅎㅎ
#무식당#성수맛집#성수동맛집#뚝섬역맛집#서울숲맛집#먹팔#먹방 #서울숲역핫플 #맞팔해요 #안창살 #성수고기집 #성수회식 #맛집추천 #성수모임
3일
ayman.fuad
🌴🌲🌳sai ki blessings🌳🌲🌴
3일답글 달기
mouahhhh_
❤️❤️❤️😍😍😍wow
3일답글 달기
pravk1nadrchec1nsr1j
Your looks are incredible ♥️
3일답글 달기
azhmeer9
How can I have a feed like yours?
3일답글 달기
catalinktf
Love this one ☝ TOP
3일답글 달기
3일 전
게시"
754,"좋아요 46개
___augustlee
하나하나 다 맛있었던 성수동 so simple❤️
제일 맛있었던 파스타 부터 시작해서 삼치구이
그리고 입가심 하기 좋았던 샐러리랑 토마토 🤢🍅 마지막으로는 진짜 뚝딱 만들어주신 프렌치토스트까지😭 운다울어...
물론 여자셋 와인 세병은.. 기본이죠..🍅🥺
서비스로 배터지게 해주셔서 감쟈함미당 또갈게요옹❣️

#성수동맛집 #성수동초간단 #쏘심플 #성수동내추럴와인 #성수동내추럴와인바
3일
3일 전
게시"
755,"좋아요 53개
me.daily.coffee
사람들이 줄을 서서 놀랐다 ! #하노이102 뜨끈한 국물 😋😋
.
.
.
.
.
.
.
.
.
#망원동카페 #먹스타그램 #instafood #like4like #vscocam #cafe #coffee #카페투어 #연남동카페 #ootd #소통 #mood #interior #flatwhite #연희동카페 #hermes #가오픈카페 #로에베 #loewe #chanel #내추럴와인 #인디제노 #합정맛집 #르메르 #lemaire #서울숲맛집 #성수동맛집 #쌀국수맛집
3일
wjswjdghkd2_7812
소통하고 싶어서 팔로우 누르고 갑니다^^
3일답글 달기
wjswjdghkd2_7812
인스타 시작한지 얼마안됐는데 잘부탁드려여 ㅎㅎ 우리 맞팔해용
3일답글 달기
3일 전
게시"
756,"좋아요 6개
kondae_crow
셉텀. 매력적인 포인트예요
3일
kondae_crow
#건대크로우 #건대피어싱 #서울피어싱 #강동피어싱 #청담피어싱 #성수동맛집 #건대입구역 #piercing #instapiercing #성수피어싱 #피어싱 #건대 #건대핫플 #피어싱맛집 #귀테리어 #셉텀피어싱 #코피어싱 #얼굴피어싱 #septumpiercing
3일답글 달기
3일 전
게시"
757,"좋아요 84개
seu1_gii
Coco
I miss you.
(내년까지 잘 기다리마🥲)

-

-

-

#daily #dailylook #outfit #f4f #f4follow #like4like #ootd #selfie #selca #selstagram #첫줄 #셀카 #셀피 #셀스타그램 #얼스타그램 #데일리#데일리룩 #오오티디 #좋아요 #인친 #소통 #일상 #맞팔 #선팔 #팔로우#선팔하면맞팔
#성수동맛집 #성수동카페 #텅플래닛 #아더에러
3일
jichoo_o
1인 크리에이터 김지수 입니다 ◡̈︎ 잠시 소통가능하세요~?🤗
3일답글 달기
gg__clark
쟈기 앨범 정리했구멍
3일답글 달기
답글 보기(2개)
3일 전
게시"
758,"좋아요 158개
shyeeonyou
.
먹으면서 줄어드는게 아까운 맛~~♡
#사위식당
#낙곱새#성수동맛집 #성수동 #서울숲맛집 #서울숲 #데일리 #jmt#성수역맛집#성수맛집 #성수동카페 #맛점 #맛저 #성수동핫플레이스#seoul #성수동데이트 #건대맛집 #일상 #포장 #갬성 #성수동카페거리 #성수동맛집사위식당
3일
bear__05___
🌍
3일답글 달기
enjeltamara66
😍
3일답글 달기
janganlupa.like17
😥😥
3일답글 달기
_x__dragon__x_
😍😘❤
3일답글 달기
_book_my_affiliate
😥😥
3일답글 달기
tasyaaa1205
😢😢😢
3일답글 달기
hyguysss20
❤❤
3일답글 달기
3일 전
게시"
759,"좋아요 8개
food_sesang
🍤🍚온센텐동
.
.
⭐️소스와 밥은 무한리필
⭐️유자바질토마토 필수

#뚝섬역맛집#뚝섬맛집#뚝섬텐동#뚝섬역텐동#온센#온센텐동#온센성수점#성수동맛집#성수맛집#서울텐동#성수텐동#성수동텐동#서울숲텐동#서울숲맛집#서울숲#뚝섬데이트#뚝섬역데이트
3일
3일 전
게시"
760,"좋아요 147개
tooya3007
#화화담 #성수역맛집
여기는 갓성비 대박이야
.
.
.
.
#성수동쌀국수맛집#화화담성수#분위기갑#성수동맛집#쌀국수장인#성수맛집화화담#성수데이트코스#스테이크#성수맛집#성수동핫플
3일
_tanya__6
😂❤
3일답글 달기
cristyreal22
😘😘😘
3일답글 달기
ambika_j_123
😘😘😘
3일답글 달기
nani_only_hackapk
😢😢
3일답글 달기
sisilamelia.6
😂❤
3일답글 달기
3일 전
게시"
761,"좋아요 144개
yongkwang3984
진정 스테이크를 잘하는 집이야!
#미도인성수#성수맛집
.
.
.
.
.
#성수동맛집#성수역스테이크#성수맛집미도인#뚝섬역스테이크#성수직장인맛집#성수동핫플#성수핫플
3일
gudia.2
😢😂😂
3일답글 달기
nzwh65
🚫
3일답글 달기
antares2343
🤣🤣🤣🤣🤣
3일답글 달기
jojonst01
🤣🤣🤣🤣🤣
3일답글 달기
adhyandikaa1
😍😊😘🙈🙈
3일답글 달기
mamamama3605
🚫
3일답글 달기
narasilpa1
😢😂😂
3일답글 달기
3일 전
게시"
762,"좋아요 22개
kihoo_dining
.
오늘 런치,디너 만석입니다.

마지막 명절주말 보양식으로
마무리해보아요 🍲

#이은범작가님#역시
#볼수록이뻐
with 손가락이 아픈 쉐프님👍🏻
3일
kihoo_dining
#성수#성수동#기후#보양#오마카세#다이닝#레스토랑#일식#한식#스시#건강#맛집#성수동맛집#명절#데이트 #사케#와인
3일답글 달기
3일 전
게시"
763,"좋아요 241개
xescmenzl
.
간단하지만 매력적인 조합의
보스나 샌드위치가 잘 어울리는
일요일입니다!

세스크멘슬
오늘도 활짝 문을 열었습니다!
.
#세스크멘슬 #성수동맛집
#유러피안육가공전문점 #소시지
#콜드컷 #하몽 #쿡베이컨 #샌드위치 #와인
3일
choi.roots
👏👏👏
3일답글 달기
3일 전
게시"
764,"좋아요 129개
ane_genie
오랜만에 콧바람 *.:｡✿*ﾟ¨ﾟ✎･✿.｡.:*
3일
1598cm
시바 머싯다
3일답글 달기
답글 보기(1개)
pingping_2eo
자세나오네
3일답글 달기
답글 보기(1개)
o2wl
멋드러지네
3일답글 달기
답글 보기(1개)
1ookthat
이효리냐?
3일답글 달기
답글 보기(1개)
pf_kahee
신발 오빠꺼임 ?
3일답글 달기
답글 보기(4개)
3일 전
게시"
765,"yanggeng88
님 
외 134명
이 좋아합니다
seilbaby
긴긴 연휴 심심할세라 나 놀아주러 본가에서부터 머나먼 여정해준 우리 유야의 노고에 감사를 전하며💛 #이번주쭉쉬지롱
5일
seilbaby
❤️
3일답글 달기
답글 보기(1개)
eland_group
안녕하세요. 이랜드그룹 공식계정입니다. 현재 이랜드그룹 공식홈페이지와 블로그에 트렌드를 소개하는 콘텐츠를 준비하고 있는데요 :-)
올리신 사진과 텍스트가 저희가 준비하는 콘텐츠의 톤앤무드와 잘 맞아 혹시 사진을 사용할 수 있을지 여쭙습니다.
허락해주시면 출처를 꼭 기입하여 제작하겠습니다. 가능 여부 답댓글로 부탁드립니다! 그럼 오늘도 행복하세요 :-)
7시간답글 달기
답글 보기(1개)
5일 전
게시"
766,"좋아요 22개
jsw_178
#꾸아 #쌀국수

에머이, 포메인 등에서 먹던 쌀국수와는 다른맛.
쌀국수 보다는 국밥 먹는 느낌..?
11주
jsw_178
💬
11주답글 달기
답글 보기(1개)
7월 13일
게시"
767,"좋아요 43개
uhaha.record
성수칼국수에서는 고추장삼겹살이 👍👍👍👍👍
3일
uhaha.record
#성수칼국수 #성칼 #성수동맛집
3일답글 달기
thefoody_room
대박 칼국수 먹으러가야해😍😍 우리먹팔해여🙌
3일좋아요 1개답글 달기
kkakka_food
먹팔 하고 갈게요❤️ 자주 소통해요😍
3일답글 달기
haaaaai28
선팔하구갑니당 소통하구지내요 😍
2일좋아요 1개답글 달기
3일 전
게시"
768,"좋아요 26개
za._.ne
버거에 찐진심
Seeking for the best burger place.
.
.
.
#burger #🍔 #🍔🍟🧅#onionrings #엘더버거 #elderburger #성수동맛집
3일
jamesjchoi_art
Onion hoop.
3일좋아요 1개답글 달기
weluvus1987
와...저 링이 설마 어니언 링이야?...😮
3일좋아요 1개답글 달기
3일 전
게시"
769,"좋아요 302개
eycherif98
고집132 가려고 성수동 가는 1인ㅋㅋㅋ
132시간 저온숙성하는 특별한 제주숙성돼지고기 맛집인데
갈때마다 대만족이라 별을 오조오억개 주고싶음⭐🌟⭐🌟⭐
#고집132성수본점 #성수동맛집고집132 #성수동맛집 #성수맛집 #뚝섬맛집 #서울숲맛집 #한양대맛집 #성수동핫플레이스 #성수동데이트 #성수동술집 #성수동밥집 #성수동고기집 #고집132
3일
ranjitsingh025
💞💌💘💘
3일답글 달기
ambika_j_123
💋
3일답글 달기
agsspto
😊
3일답글 달기
in_visible_89
😘😘
3일답글 달기
faniaoktavianiw
😘😘😘❤❤
3일답글 달기
rodiaa_business
😊
3일답글 달기
katil_48
😘😘
3일답글 달기
pre_ethi009
😘😘
3일답글 달기
hynseo70
😍
2일답글 달기
hynseo70
😜
2일답글 달기
hynseo70
💕
2일답글 달기
dtaarsno_
🙈💘💑❤
3일답글 달기
3일 전
게시"
770,"좋아요 86개
angmoosae_lewis
오늘같이 맑은 날! 멋진 사진을 찍고싶다면?
자연광이 듬뿍들어오는 앵무새루이스에서 자연 조명을 활용해 멋진사진을 찍어보세요❤

-
#성수카페 #성수동카페 #성수역카페 #성수카페추천 #성수분위기 #성수맛집 #성수동맛집 #성수데이트 #성수데이트코스 #성수핫플추천 #성수동핫플추천 #성수동 #서울숲 #성수레트로 #레트로성수 #레트로카페 #레트로분위기 #성수레트로분위기 #서울숲 #서울숲레트로 #서울숲카페 #서울숲카페추천 #서울숲맛집추천 #성수와인바 #성수펍 #성수에서 #성수셀피 #셀피 #앵무새루이스 #놀면뭐하니 #지미유
3일
3일 전
게시"
771,"조회 480회
itachibek_asukehan_uchiha
🤍⁣
⁣
타이거풀 🍖🍖⁣
⁣
합리적인 가격의 아낌없는 재료로 만든 스테이크 맛집 ✔⁣
스테이크는 파스타랑 먹으면 더 맛있게 먹을 수 있어요 ✔⁣
샹들리에 가득한 메인홀에는 테이블 간격이 넓어 쾌적한 식사가 가능해요 ✔⁣
⁣
평범한 날들도 특별한 날로 만들어주는 곳 👍👍⁣
⁣
💕 대표메뉴 - 토마호크, 포터하우스 💕⁣
⁣
나랑 같이가서 돈쭐 내주러 갈사람 !!⁣
@인생샷 찍어줄 친구 태그⁣
⁣
•·················information·····················•⁣
⁣
🏠 타이거풀⁣
💌 예약문의 070-7576-0777⁣
🛣 서울특별시 성동구 성수이로7가길 7⁣
⏰ 매일 11:30 - 24:00⁣
BREAK TIME 15:00 - 17:00⁣
(LUNCH LAST ORDER 14:30 / DINNER LAST ORDER 22:30)⁣
⁣
•··························•·······························•⁣
⁣
#성수동맛집 #성수동핫플레이스 #성수동핫플 #성수동데이트 #뚝섬맛집 #성수핫플⁣
#성수동맛집추천 #성수역맛집 #성수동카페거리 #성동구맛집 #서울데이트코스추천
3일
geujeogeuraegeunyang
일 좀 보러 나가는 길에 본건데 맨손으로는 못돌아오겠는걸요? 배고파져서요..ㅜ 좋은 하루 되세요!
3일답글 달기
__cookhun
비주얼 굿굿 꼭 먹으러 가봐야 겠어요ㅠㅠ
3일답글 달기
syamsul_274
😘😘
3일답글 달기
ashfak9166
🌍
3일답글 달기
prolove_kuy
👼
3일답글 달기
febbii.2
😂😂😂😂
3일답글 달기
yuro.2010
😅
3일답글 달기
yuro.2010
👅👅👅
3일답글 달기
arsya1778
💘🙈
3일답글 달기
sbipnb02
😢😢😢
3일답글 달기
imam_slebew
😚❤
3일답글 달기
arsya1778
😢😢
3일답글 달기
3일 전
게시"
772,"좋아요 9개
lovely_hhhjjjjj
잠봉뵈르가 유명한
성수 에르제
🥐🥯🍞🥖🥪
바게트랑 크루와상이
최애빵인 나에게
여기 빵들 다 내스타일🥰
.
#성수#에르제
#성수에르제
#잠봉뵈르#잠봉뵈르맛집
#빵지순례#빵쇼핑
#성수동맛집
#빵스타그램
#먹스타그램
3일
pinkmmaa
빵순이 설레인다😍
3일답글 달기
답글 보기(1개)
3일 전
게시"
773,"kilutex
님 
외 395명
이 좋아합니다
du___ub
#협찬 #오디티모드

컬러촬영으로 다양한 분위기
연출이 가능하답니다💚

#셀프사진관 #건대셀프사진관
3일
du___ub
🤍
3일답글 달기
답글 보기(1개)
go.jongseon
롱부츠가 예뻐요
3일답글 달기
tako_warigari
이런곳 넘 좋다는👏🔥
3일답글 달기
_zanglong
민트 색상 넘 잘어울리시는 👏
3일답글 달기
hasung_52
아이돌인가 배우인가
2일답글 달기
seooo_mj
정말 모델 분이 사진을 찍으면 이렄케 힙하게 되는군요!!!!🤭👍
1일답글 달기
3일 전
게시"
774,"좋아요 247개
freemizero
조명이너무이쁜공간이네요
3일좋아요 1개답글 달기
hyun0666
분우기가너무좋은곳이네요
3일좋아요 1개답글 달기
dduddu.vely
인테리어 분위기 너무좋네요
3일좋아요 1개답글 달기
ssoovely_12
인테리어멋지네요
3일좋아요 1개답글 달기
wososk12
멋진카페 전경입니다 ㅎ
3일답글 달기
rlaqkq213
분위기에 차한잔마시기좋은곳이네요~
3일좋아요 1개답글 달기
leejh_87
아늑하니 분위기가 너무 좋아보여요 ^^ 즐거운 하루 보내세요
3일좋아요 1개답글 달기
coffeos
#성수동카페주차 #성수동예쁜카페 #성수동핫플레이스 #성수동맛집 #성수동커피오스 #성수동가장오래된카페 #성수카페 #성수동카페 #성수동카페거리 #성수맛집 #성수동도토루커피os #서울숲카페 #서울숲커피오스 #서울숲예쁜카페 #서울숲카페추천 #coffeos #since1997
3일답글 달기
nam.gyu729
커피오스 ~조명도 이쁘네요.
3일좋아요 1개답글 달기
nam.gyu729
커피오스 ~조명도 이쁘네요.
3일좋아요 1개답글 달기
3일 전
게시"
775,"좋아요 153개
mocchaunefg
10년째 자리잡고있는 터줏대감 권식족발!

직화로 구워 더 맛있는 불족발!

주먹밥이랑 같이 먹으면~~
세상에 입에서 어우러지는 맛은 환상 그자체!!

성수동에서 족발집으로 유명한 이유가 있었네요!

족발을 쌈에 싸먹어도 존맛!!

친구랑 감탄이란 감탄을 다 했던거 같아요!!!
#권식족발#성수동맛집#뚝섬맛집#성수맛집#성수족발#성수동족발#먹팔#성수데이트코스추천 #성수모임 #성수역핫플 #먹스타맞팔환영 #뚝섬회식장소추천 #맛집탐방 #성수데이트코스
3일
rfalascajr
Nyc bro
3일답글 달기
shahnadir66
Thanks so much for sharing!
3일답글 달기
berenz2n
Thanks so much for sharing!
3일답글 달기
azhmeer9
Very exquisite💎💎💎
3일답글 달기
leonardo.bena
So gorgeous and strong
3일답글 달기
3일 전
게시"
776,"좋아요 1,011개
noonshop00
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

라피네 아이라인 전/후 사진 이에요😊
항상 속눈썹펌 하러 오시는 고객님이신데
이번엔 아이라인을 하셨어요~!!
눈이 또렷또렷해 보이게 넘넘 예쁘시죵?
직후라서 진한데~ 각질이 탈각되고 두께도 더 줄고나면
색이 자연스럽게 착색이 되셔용💓

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀ ⠀작업중일시 전화연결이 어려우므로
⠀⠀⠀⠀⠀⠀⠀⠀⠀톡을 남겨주시면 순차적으로
⠀⠀⠀⠀⠀ ⠀⠀최대한 빠른 답변 드리겠습니당! ◡̈
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀ ⠀⠀⠀⠀⋈ 100%예약제 운영
⠀⠀⠀⠀⠀ ⠀⠀⠀⋈ 1:1프라이빗 맞춤시술(모든룸1인실)
⠀⠀⠀⠀⠀⠀ ⠀⠀⋈ 주차 1시간 30분 무료
⠀⠀⠀⠀⠀⠀⠀ ⠀⋈ 톡문의 : noonshop00

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#반영구눈썹
#반영구아이라인
#연예인눈썹
#속눈썹펌
3일
noonshop00
❤️
3일답글 달기
noonshop00
#라피네#반영구눈썹#반영구화장#반영구아이라인#남자눈썹#남자눈썹전문#남자반영구#남자눈썹문신#반영구잘하는곳#속눈썹펌잘하는곳#속눈썹펌#성수동속눈썹#성수동반영구#연예인눈썹#강남반영구#자연눈썹#아치형눈썹#성수동속눈썹#연예인속눈썹#성수동핫플레이스#눈썹맛집#눈썹문신잘하는곳#반영구화장#건대반영구#뚝섬반영구#성수반영구#서울숲#성수동맛집#남자눈썹잘하는곳#건대속눈썹#남자눈썹잘하는곳#재난지원금사용
3일답글 달기
3일 전
게시"
777,"좋아요 18개
hhhhjjjj_1024
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
바질페스토페스츄리 n #초당옥수수 페스츄리🌽
#먹스타그램#먹스타#디저트#일상#카페#핫플레이스#핫플#빵#베이커리#cake#스콘#크로와상#bread#like#카페#bakery#croissant#pastry#dessert#cafe#좋아요#food#바이레인#페스츄리#서울숲#서울숲카페#서울숲맛집#성수동#성수동카페#성수동맛집
3일
3일 전
게시"
778,"좋아요 37개
99k_tae
<FAGP>
.
꽤나 오래전에 방문했었던 곳이지만 아직까지나 남아있는 오징어🦑와 아스파라거스 디쉬
.
그때 그 맛을 못잊어 다시 방문한 곳
이번엔 고수🌱와 초리조🥩
고수를 좀 선호하지 않는 나조차 거부감 전혀없이 야무지게 먹었다.👍
.
초리조도 정말 감칠맛 지리게 맛있었지만 고수가 아직까지 더 많이 생각이 난다🙆‍♂️
.
#fagp #팩피 #성수동팩피 #성수팩피 #성수파스타 #성수맛집 #성수동맛집 #성수동
#pasta
3일
y0ungoood
난 ? ㅠ
3일좋아요 1개답글 달기
olzl._.hurom
또 진행시켜
3일좋아요 1개답글 달기
3일 전
게시"
779,"좋아요 323개
gnggyeonghyi5492
우리커플이 좋아하는 성수동 고깃집♡
일단 분위기도 넘 예쁘고.. 고기도 다 구워주신다!
근데 심지어 고기가 엄~~~청 맛남ㅋ
사이드까지 완!벽!!
#고집132성수본점 #성수동맛집고집132 #성수동맛집 #성수맛집 #뚝섬맛집 #서울숲맛집 #한양대맛집 #성수동핫플레이스 #성수동데이트 #성수동술집 #성수동밥집 #성수동고기집 #고집132
3일
jissossoyaa
😂🔥🤘💖
3일답글 달기
kavitha212121
😂🔥🤘💖
3일답글 달기
tiressstire22
🌍
3일답글 달기
kris_the_venom
😘😢😢😢
3일답글 달기
abel_unang
😂🔥🤘💖
3일답글 달기
dyn.a888
😘😘😘
3일답글 달기
robe.t1233
🌍
3일답글 달기
3일 전
게시"
780,"좋아요 129개
boram_c
최근 성수에서 가장 핫한 공간이라면?
가오픈부터 떠들썩했던 뚝도농원 빼놓을 수 없지.😎

공간 인테리어와 아이디어가 참말로 좋네요잉.
인스타 사진 찍기 최적화된 공간입니닼ㅋㅋㅋ
직원들한테 사진 구도도 교육 시킨 듯? 디테일. 캬.
사진 찍는다 하면 조명 맞춰 주고 구도 잡아 줍니닼ㅋㅋㅋ
덕분에 편하게 사진 잘찍었네요!✌️

테이블에 벨이 없는데 나이트에서나 볼법한.
등이 있어요ㅋㅋㅋㅋ 웨이터 불러야 할 것 같은ㅋㅋㅋ
그걸 들어서 오더를 해야 하는데 홀이 넓어서 후하후하.
암튼 분위기 재밌네요ㅋㅋㅋㅋㅋㅋㅋㅋ🤣🤣

오리로스는 너무 건강한 맛이에요.
입이 심심한 편인데도 전혀 간이 없어서.
소금과 반찬의 힘이 좀 필요했어요.

술빵이 얇게 나오는데 살짝 구운 후에.
샐러드랑 같이 싸먹으니 맛있었어요.

양념된 주물럭은 로스 먹고 입가심으로 좋았고요.
깔끔하게 나오는 오리지리탕까지 섭렵한 후에.
오리알 넣고 끓인 K-디저트 죽으로 마무리했습니다.

이번주 편스토랑에서도 방영됐다던디.
또 당분간 박터지겠네요. 헷,,,🤓🤓

#성수 #뚝도농원
3일
boram_c
🐤
3일좋아요 1개
답글 보기(1개)
sool_noo_nanna
언니 핫플만 다니시네요🔥 저도 데려가주세여,,, 광진구로 가면 되나여😍
3일
답글 보기(1개)
veens_veens
웨이터 웨이터 ~~~~~~
3일좋아요 1개
답글 보기(1개)
cafe.playdogs
람라농원
3일
답글 보기(2개)
3일 전
이 게시물에 대한 댓글 기능이 제한되었습니다."
781,"좋아요 240개
jih_s
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀

╭ 신사역 𝚘𝚗𝚍𝚊𝚗𝚊𝚒𝚕╮

악세랑 너무 잘 어울리는 디자인이예요 ♡
정말 예뻐요,보미샘이 하신 시안속
크림색 디자인은 원칼라에올려도 예쁠 것 같아요 🤍🤍
📌2인 예약시,또는 지인소개시
미리 말해주세요(서비스)

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
❤️‍🔥이달의아트+정잘체아트❤️‍🔥
모든 정찰제아트와 이달의아트는
샵내에 표기되어 있습니다
*궁금 하신 분
플친메세지로 문의하세요 ◡̈

*회원권<문의>
회원권마다 혜택이 다르니 상담
필요하신 분들은 따로 안내받아보세요 ◡̈
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
모든 선생님 시술시 답변이 지연되는 점
양해부탁드립니다.
급하신 고객님은 ☎️010-2179-3883
전화주세용 ◡̈
X예약폰은 카카오톡 안됩니다X
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#온다네일
#가로수길네일#신사역네일
⠀⠀⠀⠀⠀⠀⠀
3일
jih_s
♡
3일답글 달기
답글 보기(1개)
3일 전
게시"
782,"좋아요 23개
shkim_92
오리고기 먹으러 성수까지..😋
.
.
.
#성수핫플 #성수맛집 #뚝도농원 #성수동맛집 #성수동핫플레이스
3일
luciaheureuse
오 나여기 찜해놨는디! 어땠어?
3일답글 달기
답글 보기(2개)
3일 전
게시"
